token           lexeme
--------------- --------------------
separator       @
keyword         function
identifier      multiply
separator       (
identifier      a
keyword         integer
separator       ,
identifier      b
keyword         integer
separator       )
separator       ;
separator       {
keyword         integer
identifier      c
separator       ;
keyword         read
separator       (
identifier      a
separator       ,
identifier      b
separator       )
separator       ;
identifier      c
operator        =
identifier      a
operator        *
identifier      b
separator       ;
keyword         write
separator       (
identifier      c
separator       )
separator       ;
separator       }
separator       @
separator       @
separator       @
