token           lexeme
--------------- --------------------
separator       @
keyword         function
identifier      add
separator       (
identifier      x
keyword         integer
separator       )
separator       {
keyword         return
identifier      x
separator       }
separator       @
keyword         integer
identifier      a
separator       ,
identifier      b
separator       ;
keyword         real
identifier      c
separator       ;
separator       @
identifier      a
operator        =
integer         1
separator       ;
identifier      b
operator        =
integer         2
separator       ;
identifier      c
operator        =
identifier      a
operator        +
identifier      b
separator       ;
identifier      b
operator        =
identifier      a
operator        +
identifier      c
separator       ;
keyword         write
separator       (
identifier      a
separator       )
separator       ;
keyword         write
separator       (
identifier      b
separator       )
separator       ;
keyword         write
separator       (
identifier      c
separator       )
separator       ;
keyword         if
separator       (
identifier      a
operator        ==
identifier      b
separator       )
keyword         write
separator       (
identifier      c
separator       )
separator       ;
keyword         fi
keyword         while
separator       (
identifier      c
operator        <
integer         10
separator       )
separator       {
identifier      c
operator        =
identifier      c
operator        +
integer         1
separator       ;
separator       }
separator       @
